revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
48.82,10,3,26,780,0,0,0,0,1,4,1
51.42,0,0,36,59,1,0,0,0,0,4,1
5,0,0,26,785,1,0,0,0,1,3,1
26.84,4,1.33,49,1471,0,1,0,1,1,2,1
49.16,8.67,0,47,1434,0,1,0,0,1,1,1
36.16,59.67,13,25,733,1,1,0,0,1,2,1
37.49,8,0.33,40,1209,0,0,0,0,0,1,1
15,1,0.33,14,408,1,0,0,0,0,2,1
33.99,10.67,1.33,14,406,1,0,0,0,1,2,1
22.76,0.33,0,39,1179,0,0,0,1,1,1,1
48.53,0,0,10,297,1,1,0,0,1,2,1
184.75,144.33,56.67,11,194,1,0,0,0,1,2,1
97.6,22.33,2.67,22,655,0,0,0,0,0,1,1
67.41,15.33,0.67,21,247,1,1,0,0,1,2,1
132.34,77,6,18,114,1,0,0,0,1,2,1
41.75,7.33,0,36,1088,1,1,0,0,1,1,1
34.65,14.67,0,31,913,1,0,0,0,0,1,1
50.44,17.67,12.67,35,773,0,0,0,0,0,1,1
41.29,3.67,0.67,12,68,1,0,0,0,1,2,1
50.94,5.67,2.33,23,173,1,0,0,0,1,2,1
90.61,19.33,15,54,1599,0,0,0,0,0,0,1
33.59,10,1,23,678,0,0,0,0,1,1,1
42.24,10.33,7.67,27,811,1,0,0,0,0,1,1
15.68,0.33,0,22,649,0,1,0,0,1,1,1
60,0,0,49,1470,0,0,0,0,0,0,1
47.92,2,0.33,22,680,1,0,0,0,0,1,1
26.33,7,2.33,28,862,1,1,0,0,1,1,1
30.27,17.67,37,19,566,0,0,0,0,0,1,1
53.43,0.33,0,53,1592,0,1,0,1,1,0,1
39.59,17.33,8.33,29,664,0,1,0,0,1,1,1
58.6,5,0,21,622,1,0,0,0,0,1,1
5.05,0,0,18,558,0,1,0,0,1,1,1
79.5,16,0.33,22,607,1,0,0,0,0,1,1
23.57,10.67,0.67,28,828,1,1,0,0,1,1,1
35,0,0,53,1585,0,0,0,0,1,0,1
52.53,31,17.67,12,373,0,0,0,0,0,1,1
38.12,3.33,0,25,760,1,1,0,1,1,1,1
135.13,25,0.33,46,1390,0,1,0,0,1,0,1
5,0,0,17,516,0,1,0,0,1,1,1
139.27,86,22,27,18,1,0,0,0,1,2,1
23.24,0.67,0,26,780,1,0,0,0,1,1,1
36.3,22.33,1,21,609,1,0,0,0,0,1,1
92.85,39,1,19,526,1,0,0,0,0,1,1
20.99,12.33,4,26,785,1,0,0,0,1,1,1
49.99,21.67,18,28,518,0,0,0,0,0,1,1
45.56,0,0,45,1356,0,0,0,0,0,0,1
28.25,8.33,0.33,25,740,1,1,0,0,1,1,1
70.98,31.67,13,18,555,1,0,0,0,0,1,1
10,0.33,0,46,1391,0,0,0,0,0,0,1
84.63,23,1.67,43,1282,0,0,0,0,0,0,1
68.8,25,1.67,16,493,1,0,0,0,0,1,1
31.06,1,0,50,1500,0,1,0,0,1,0,1
37.74,7,0.67,13,397,0,1,0,0,1,1,1
212.6,165.67,22,17,490,1,1,0,0,1,1,1
35.34,0,2,48,1462,0,1,0,1,1,0,1
39.99,31.33,2.33,17,509,1,0,0,0,0,1,1
54.57,1.33,0,41,1242,0,0,0,0,0,0,1
25.22,0,0,48,1447,0,1,0,1,1,0,1
59.99,0.67,0,15,443,1,0,0,0,0,1,1
17.15,0,0,47,1444,0,1,1,1,1,0,1
157.8,31.67,6,11,312,1,0,0,0,0,1,1
25.84,1,0,22,648,1,0,0,0,1,1,1
49.73,33.67,1.33,16,461,1,0,0,0,0,1,1
13.14,13.33,1.33,23,676,1,0,0,0,1,1,1
142.46,39,2,36,1088,0,0,0,0,0,0,1
48.21,58.33,13,27,610,1,0,0,0,0,1,1
10,0,0,23,672,1,1,1,0,1,1,1
48.52,14,1,20,602,1,0,0,0,1,1,1
29.99,0.67,0.67,42,1267,0,0,0,0,0,0,1
52.58,5,2.33,24,540,1,0,0,0,0,1,1
31.04,2.67,0,22,638,1,1,0,1,1,1,1
39.12,7.33,1.67,47,1414,0,1,0,0,1,0,1
34.28,3,3.33,46,1413,0,1,0,1,1,0,1
20,0.33,0,48,1437,0,1,0,0,1,0,1
43.83,40,14,47,1442,0,1,1,1,1,0,1
11.87,0,0,21,448,0,0,0,1,1,1,1
45.61,5,0,15,432,1,0,0,0,0,1,1
5,0,0,34,672,1,0,0,0,0,1,1
39.99,9.67,0.67,46,1381,0,1,0,0,1,0,1
60.98,37.67,0,13,387,1,0,0,0,0,1,1
312.83,78,0,23,216,1,0,0,0,0,1,1
19.95,0,0,47,1407,0,0,0,0,1,0,1
44.8,18,16.33,21,639,1,0,0,0,1,1,1
53.24,0,0,13,390,1,0,0,0,0,1,1
76.09,51,34.67,17,510,1,0,0,0,0,1,1
75.77,18.67,6,13,379,1,0,0,0,0,1,1
47.2,16.33,1,13,393,1,0,0,0,0,1,1
29.99,0.33,0,45,1348,0,1,0,0,1,0,1
16.99,0,0,46,1372,0,1,0,0,1,0,1
59.57,28.67,3.33,17,513,1,1,0,0,1,1,1
32.29,6.33,0,38,1167,0,0,0,0,0,0,1
51.89,30.67,0.33,16,498,1,0,0,0,1,1,1
196.29,30.67,0.67,35,1057,0,1,0,0,1,0,1
24.99,1.33,0,33,596,1,0,0,0,0,1,1
31.76,2,0,43,1308,0,1,0,1,1,0,1
20.43,0,0,44,1330,0,1,1,0,1,0,1
32.25,7,0,20,444,1,0,0,0,0,1,1
16.99,0,0,44,1328,0,1,0,0,1,0,1
25.6,22.33,0,13,370,1,0,0,0,0,1,1
52.23,13.33,0,11,320,1,0,0,0,0,1,1
31.02,0.67,0,17,507,1,0,0,1,1,1,1
59.29,38,1,12,323,1,0,0,0,0,1,1
55.22,12,0.33,16,469,1,1,0,0,1,1,1
35.99,1,0,17,498,1,0,0,0,1,1,1
18,0,0.67,38,1154,0,0,0,0,0,0,1
50.24,27.33,5,11,330,1,0,0,0,0,1,1
46.49,16.33,0,19,401,1,0,0,0,0,1,1
30.26,4.67,0,24,380,0,0,0,0,1,1,1
37.36,6.33,1.33,12,342,1,0,0,0,0,1,1
37.96,32.67,10,32,575,1,0,0,0,0,1,1
17.29,7,2,12,362,1,0,0,0,0,1,1
28.69,1,0,42,1272,0,1,0,0,1,0,1
17.99,0.67,0,43,1291,0,1,0,1,1,0,1
40.14,0.67,0,11,310,1,0,0,0,0,1,1
109.52,3.33,0,11,336,1,1,0,0,1,1,1
27.68,18.67,1,10,313,1,0,0,0,0,1,1
34.99,1.33,0,22,335,0,0,1,1,1,1,1
49.99,2.67,0,15,434,1,1,0,0,1,1,1
43.98,14,1.33,20,495,1,0,0,0,1,1,1
70.55,31,0,44,1231,0,0,0,0,1,0,1
90.76,6.33,0,12,353,1,1,0,0,1,1,1
92.5,8,0.33,37,1131,0,0,1,0,1,0,1
141.12,64.67,0.67,31,913,0,0,0,0,0,0,1
59.99,0,0,14,404,1,0,0,0,1,1,1
82.09,36,1.33,23,283,0,0,0,0,1,1,1
31.65,4,0.67,40,1226,0,1,0,0,1,0,1
44.16,6.67,0.33,41,1221,0,0,0,0,1,0,1
56.11,0.67,0,13,395,1,1,0,0,1,1,1
84.81,37.67,6.33,13,381,1,0,0,0,1,1,1
173.96,146.33,38,7,214,1,0,0,0,0,1,1
16.99,0,0,41,1242,0,0,0,0,1,0,1
30.26,14,9.33,41,1253,0,1,0,0,1,0,1
15,0,0,41,1241,0,0,0,0,1,0,1
60.73,1.33,0,12,369,1,1,0,0,1,1,1
77.81,46.67,31,12,145,0,0,0,0,0,1,1
30.76,5,0,41,1218,0,0,0,0,1,0,1
87.66,21.67,0,37,1113,0,1,0,0,1,0,1
61.71,0,0,14,275,1,0,0,0,0,1,1
30,9.67,2.67,41,1221,0,0,0,0,1,0,1
32.69,2.67,2.33,34,1040,0,0,0,0,0,0,1
57.64,1,0,37,1139,0,1,0,0,1,0,1
34.99,34.67,11.67,41,1240,0,1,0,0,1,0,1
40.72,3.67,0,39,1177,0,1,0,0,1,0,1
68.15,2,0.33,37,1127,0,0,0,0,1,0,1
98.56,62.67,22.67,12,378,1,1,0,0,1,1,1
126.63,19.67,7.33,9,268,1,1,1,1,1,1,1
70.45,18.67,5,10,138,0,0,0,0,1,1,1
64.86,7,0,18,301,1,0,0,0,0,1,1
29.99,2,0.67,39,1179,0,1,0,1,1,0,1
15.5,0,0,40,1203,0,1,0,1,1,0,1
38.49,1.67,0,39,1167,0,0,0,0,1,0,1
64.18,5.67,0.33,11,326,1,0,0,0,1,1,1
11.22,0,0,9,255,1,0,0,0,0,1,1
60.11,14.67,1.67,13,351,1,0,0,0,1,1,1
64.53,10.33,0.67,11,321,1,0,0,0,1,1,1
166.79,66.33,8.67,26,804,0,0,0,0,0,0,1
35.99,35.67,16,37,1082,0,0,0,0,0,0,1
46.61,8.33,1.67,38,1139,0,0,0,0,1,0,1
17.64,1,0.33,39,1176,0,1,0,0,1,0,1
31.24,4.33,0.67,12,361,1,1,0,0,1,1,1
22.44,0,0,38,1158,0,1,0,0,1,0,1
35.98,8,4,13,375,1,0,0,0,1,1,1
33.49,1.67,0.67,33,992,0,0,0,0,0,0,1
29.25,2.67,0,38,1148,0,0,0,0,1,0,1
62.51,7,2.67,11,318,1,1,1,0,1,1,1
30.28,0,0,29,428,1,0,0,0,0,1,1
54.21,23.67,2,11,321,1,0,0,0,1,1,1
76.98,29.67,5.67,32,943,0,0,0,0,0,0,1
36.31,2.33,0,11,334,1,0,0,0,1,1,1
30.94,34.33,5.33,13,376,1,0,0,0,1,1,1
32.15,0.33,0,32,973,0,0,0,0,0,0,1
13.25,0,0,55,1333,0,0,0,1,1,0,1
30.32,8,0,53,1293,0,1,0,1,1,0,1
41.24,30,11.67,33,1003,0,0,0,0,0,0,1
165.58,54.33,25,33,1010,0,0,0,0,1,0,1
129.63,45.33,21.33,16,238,1,0,0,0,0,1,1
98.88,5.33,3,8,132,1,0,0,0,0,1,1
53.11,1,0.33,37,1097,0,0,1,0,1,0,1
25.04,7,0,37,1124,0,0,0,0,1,0,1
38.51,0.67,0,41,1241,1,0,0,0,0,0,1
32.88,0.33,0,37,1115,0,1,0,0,1,0,1
29.99,0,0,32,962,0,0,0,0,0,0,1
19.79,2,0,7,191,1,0,0,0,0,1,1
63.56,0,0,29,891,0,0,0,0,0,0,1
36.5,21.67,4,11,327,1,0,0,0,1,1,1
79,30,4.33,35,1050,0,0,0,0,1,0,1
233.2,80.33,22.33,25,312,1,0,0,0,1,1,1
35.09,54.33,17.33,13,386,1,0,0,0,1,1,1
35.98,4,0,11,311,1,1,0,1,1,1,1
55.29,0.33,0,36,1068,0,1,0,1,1,0,1
39.12,8.33,2,11,310,1,1,0,0,1,1,1
30.27,0,0,31,935,0,0,0,0,0,0,1
108.86,38.67,5.67,37,1122,1,0,0,0,0,0,1
19.03,0,0,37,1110,0,1,0,0,1,0,1
15.14,0.33,0,37,1112,0,0,0,0,1,0,1
64.9,47,100.67,18,543,1,0,0,0,0,1,1
34.02,5.67,8.33,25,278,0,1,0,0,1,1,1
11.69,0,0,11,325,1,0,0,0,1,1,1
31.27,15,1.67,35,1078,0,1,0,0,1,0,1
61.32,4.67,1.67,30,890,0,0,0,0,0,0,1
10,0,0,11,325,1,0,0,0,1,1,1
42.87,5.33,0.33,35,1059,0,0,0,0,1,0,1
31.14,7,2.33,36,1088,0,1,0,1,1,0,1
32.49,8.67,3.67,36,1088,0,1,0,0,1,0,1
25.82,0.67,0,36,1083,0,1,0,0,1,0,1
21.03,0,0.67,36,1086,0,1,0,0,1,0,1
31.92,11.67,2.67,31,919,0,1,0,0,0,0,1
53.86,3.67,0.33,33,1011,0,1,1,0,1,0,1
35.01,5.33,0.33,23,404,1,1,1,0,1,1,1
29.99,9.67,0,35,1053,0,0,0,0,1,0,1
78.04,84.67,39.33,36,609,1,0,0,0,1,1,1
70.06,8,0.33,38,1129,1,0,0,0,0,0,1
112.32,139.33,17.33,9,119,1,0,0,0,0,1,1
28.36,12.33,0.67,23,407,1,0,0,0,1,1,1
24.52,0,0,34,1043,0,1,0,0,1,0,1
20.4,0,0,30,902,0,0,0,0,0,0,1
83.15,120.67,44.67,13,375,1,0,0,1,1,1,1
17.15,0,0,35,1059,0,0,0,0,1,0,1
208.23,52.67,12.33,14,150,1,0,0,0,1,1,1
45.37,47.67,11,28,467,1,0,0,0,1,1,1
